lemma,synset,gloss,,,,,,,,
absumo,v#00787073,use up, as of resources or materials,,,,,,,
absumo,v#00814298,eat immoderately,,,,,,,,
absumo,v#00815096,take up as if with a sponge,,,,,,,,
absumo,v#01059371,be able to take in, as of liquids,,,,,,,
absumo,v#01550401,spend lavishly or wastefully on,,,,,,,,
absumo,v#01551588,spend completely,,,,,,,,
absumo,v#01552355,spend thoughtlessly, throw away,,,,,,,
absumptio,n#00537659,the process of taking food into the body through the mouth (as by eating),,,,,,,,
absurde,r#00295581,in an absurd manner or to an absurd degree,,,,,,,,
absurditas,n#04956498,a message that seems to convey no meaning,,,,,,,,
absurditas,n#04956845,a message whose content is at variance with reason,,,,,,,,
abundans,a#00014012,present in great quantity,,,,,,,,
abundanter,r#00210879,in an abundant manner,,,,,,,,
abundantia,n#03986878,the property of a more than adequate quantity or supply,,,,,,,,
abundantia,n#03987266,a full supply,,,,,,,,
abundantia,n#09614312,an abundance of material possessions and resources,,,,,,,,
abundantia,n#10369260,the state of being more than full,,,,,,,,
abundatio,n#05513579,the occurrence of surplus liquid (as water) exceeding the limit or capacity,,,,,,,,
abunde,r#00031106,intensifiers,,,,,,,,
abundo,v#01418065,flow or run over (a limit or brim),,,,,,,,
abundo,v#01854371,be abundant or plentiful, exist in large quantities,,,,,,,
abusio,n#05313996,"strained or paradoxical use of words either in error (as ""blatant"" to mean ""flagrant"") or deliberately (as in a mixed metaphor: ""blind mouths"")",,,,,,,,
abutor,v#00787560,spend extravagantly,,,,,,,,
abutor,v#01550401,spend lavishly or wastefully on,,,,,,,,
abutor,v#01551588,spend completely,,,,,,,,
abutor,v#01552355,spend thoughtlessly, throw away,,,,,,,
abyssus,n#06735354,a bottomless gulf or pit,,,,,,,,
acacia,n#08067245,any of various spiny trees or shrubs of the genus Acacia,,,,,,,,
academia,n#06146131,a school for special training,,,,,,,,
academia,n#06147119,a secondary school (usually private),,,,,,,,
academia,n#06147795,an institution for the advancement of art or science or literature,,,,,,,,
academicus,a#02469676,associated with academia or an academy,,,,,,,,
acalanthis,n#01053826,small European finch having a crimson face and yellow-and-black wings,,,,,,,,
accedo,v#01404337,move towards, draw closer to,,,,,,,
acceleratio,n#03950360,increase in velocity,,,,,,,,
acceleratio,n#10973517,(physics) a rate of change of velocity,,,,,,,,
accelero,v#00305843,move faster,,,,,,,,
accelero,v#00306811,cause to move faster,,,,,,,,
accendo,v#00044560,cause inflammation in, of tissue or organs,,,,,,,
accendo,v#00200741,make lighter or brighter,,,,,,,,
accendo,v#00577163,provoke or stir up,,,,,,,,
accendo,v#01120650,evoke or call forth,,,,,,,,
accendo,v#01200852,call forth, of emotions, feelings, and responses,,,,,
accendo,v#01202110,arouse or excite feelings and passions,,,,,,,,
accendo,v#01885866,cause to start burning, subject to fire or great heat,,,,,,,
accendo,v#01887028,start burning,,,,,,,,
accensus,n#00243625,the act of starting a fire,,,,,,,,
accentiuncula,n#05110367,a diacritical mark used to indicate stress or (in some languages) placed above a vowel to indicate a special pronunciation,,,,,,,,
accentiuncula,n#05300778,rise and fall of the voice pitch,,,,,,,,
accentiuncula,n#05301395,the relative prominence of a syllable (especially with regard to stress or pitch),,,,,,,,
accentiuncula,n#10356373,special importance or significance,,,,,,,,
accentus,n#05110367,a diacritical mark used to indicate stress or (in some languages) placed above a vowel to indicate a special pronunciation,,,,,,,,
accentus,n#05299832,"the quality of a person""s voice",,,,,,,,
accentus,n#05300778,rise and fall of the voice pitch,,,,,,,,
accentus,n#05301395,the relative prominence of a syllable (especially with regard to stress or pitch),,,,,,,,
accentus,n#10356373,special importance or significance,,,,,,,,
acceptabilis,a#00018244,worthy of acceptance or satisfactory,,,,,,,,
acceptio,n#00055481,the act of receiving,,,,,,,,
accepto,v#01530524,admit into a group or community,,,,,,,,
acceptum,n#09539173,the entire amount of income before any deductions are made,,,,,,,,
acceptus,a#02419103,giving pleasure or satisfaction or received with pleasure or freely granted,,,,,,,,
accersitor,n#07059368,someone who imputes guilt or blame,,,,,,,,
accessibilis,a#00020300,capable of being reached,,,,,,,,
accessio,n#00181376,the act of drawing spatially closer to something,,,,,,,,
accessio,n#00291138,an offensive move in a sport or game,,,,,,,,
accessio,n#00625655,the beginning of an offensive,,,,,,,,
accessio,n#02159544,a way of entering or leaving,,,,,,,,
accessio,n#03983965,the amount by which something increases,,,,,,,,
accessio,n#05033377,intense adverse criticism,,,,,,,,
accessio,n#05450024,the event of one object coming closer to another,,,,,,,,
accessio,n#09729055,a process of becoming larger,,,,,,,,
accessio,n#09904938,a quantity that is added,,,,,,,,
accessio,n#10134893,a sudden occurrence of an uncontrollable condition,,,,,,,,
accessio,n#10135947,a sudden uncontrollable attack,,,,,,,,
accessio,n#10337658,a display of bad temper,,,,,,,,
accessio,n#W0003119,azione ostile e lesiva, volta a danneggiare o minacciare qualcuno o qualcosa, attacco alla nuova società,,,,,,
accessus,n#00025919,the act of arriving at a certain place,,,,,,,,
accessus,n#00181376,the act of drawing spatially closer to something,,,,,,,,
accessus,n#00291138,an offensive move in a sport or game,,,,,,,,
accessus,n#00625655,the beginning of an offensive,,,,,,,,
accessus,n#00810466,the act of admitting someone to enter,,,,,,,,
accessus,n#02159544,a way of entering or leaving,,,,,,,,
accessus,n#02641840,something that allows entry or exit,,,,,,,,
accessus,n#04031707,the right to enter,,,,,,,,
accessus,n#05033377,intense adverse criticism,,,,,,,,
accessus,n#05450024,the event of one object coming closer to another,,,,,,,,
accessus,n#10134893,a sudden occurrence of an uncontrollable condition,,,,,,,,
accessus,n#10391014,an opportunity to state your case and be heard,,,,,,,,
accessus,n#W0003119,azione ostile e lesiva, volta a danneggiare o minacciare qualcuno o qualcosa, attacco alla nuova società,,,,,,
accidens,n#05443380,anything that happens by chance without an apparent cause,,,,,,,,
accidens,n#05443572,a mishap, especially one causing injury or death,,,,,,,
accidens,n#10087148,the state of being contingent on something,,,,,,,,
accidens,n#10409482,the set of facts or circumstances that surround a situation or event,,,,,,,,
accido,v#00137858,edit,,,,,,,,
accido,v#00154752,lessen the strength or flavor of a solution or mixture,,,,,,,,
accido,v#00235191,come to pass, occur,,,,,,,
accido,v#00236898,come as if by falling,,,,,,,,
accido,v#00237141,occur at a specified time or place,,,,,,,,
accido,v#00253624,interrupt before its natural or planned end,,,,,,,,
accido,v#00298808,cut down on, make a reduction in,,,,,,,
accido,v#00856275,cut to pieces,,,,,,,,
accido,v#00901083,cut with a blade or mower,,,,,,,,
accido,v#00902939,cut with sweeping strokes, as with an ax or machete,,,,,,,
accido,v#01352350,lose an upright position suddenly,,,,,,,,
accido,v#01575833,be captured,,,,,,,,
accido,v#01624789,lose office or power,,,,,,,,
accido,v#01768893,chance to be or do something, without intention or causation,,,,,,,
accido,v#01787446,die, as in battle or in a hunt,,,,,,,
accido,v#01883959,fall from clouds,,,,,,,,
accingo,v#00765369,lay siege to,,,,,,,,
