"id";"word";"phrase";"gloss"
"a#00867566";" exactus subtilis ";"";""
"a#00871958";" concitatus ";"";""
"a#00878089";" defessus effetus fessus marcens marcidus ";"";""
"a#00882438";" improvisus inopinatus inopinus insperatus necopinatus necopinus repens repentinus subitus ";"";""
"a#00886202";" carus pretiosus sumptuosus ";"";""
"a#00889260";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#00889682";" imperitus inexpertus ";"";""
"a#00891963";" inexplicabilis ";"";""
"a#00900269";" inexstinguibilis ";"";""
"a#00900427";" exter externus extrarius ";"";""
"a#00900967";" internus intestinus ";"";""
"a#00909260";" aequabilis aequus verus ";"";""
"a#00910900";" aequabilis aequus ";"";""
"a#00913324";" fidus ";"";""
"a#00918492";" insolens insuetus inusitatus mirus monstrificus monstruosus novus ";"";""
"a#00936334";" exilis gracilis macer macilentus strigosus tenuis vescus ";"";""
"a#00938625";" gracilis ";"";""
"a#00939455";" adipatus altilis corpulentus crassus obesus opimus pinguis ";"";""
"a#00941655";" curabilis medicabilis sanabilis ";"";""
"a#00941774";" deploratus immedicabilis inexplicabilis insanabilis ";"";""
"a#00945545";" pinnatus plumosus ";"";""
"a#00950068";" auctifer fecundus felix fertilis fetus frugifer laetus opimus pinguis uber ";"";""
"a#00950799";" infecundus ";"";""
"a#00961089";" imus summus ";"";""
"a#00964638";" secundus ";"";""
"a#00974331";" destrictus ";"";""
"a#00974859";" commutabilis ";"";""
"a#00977176";" crispus ";"";""
"a#00983397";" adoptaticius adoptivus ";"";""
"a#00986047";" genuinus vernaculus ";"";""
"a#00997654";" beatus fortunatus ";"";""
"a#00999165";" improsper infelix infortunatus miser ";"";""
"a#01001840";" aromaticus odoratus odorifer odorus ";"";""
"a#01006140";" certus immobilis inerrans ratus ";"";""
"a#01013801";" celeber creber densus frequens ";"";""
"a#01014242";" rarus ";"";""
"a#01016940";" mucidus ";"";""
"a#01027790";" auctifer fecundus felix ferax uber ";"";""
"a#01029234";" infecundus infructuosus ";"";""
"a#01032310";" differtus gravidus ";"";""
"a#01034130";" inanis vacuus vanus ";"";""
"a#01045200";" instructus paratus ";"";""
"a#01062627";" beneficus magnanimus prolixus ";"";""
"a#01063943";" avarus ";"";""
"a#01065548";" beneficus magnanimus prolixus ";"";""
"a#01066794";" archetypus authenticus genuinus germanus incorruptus verus ";"";""
"a#01067907";" adulter adulterinus fictus mendax subditivus ";"";""
"a#01073959";" glorificus gloriosus ";"";""
"a#01075398";" indecoris ";"";""
"a#01083652";" consceleratus facinorosus impius improbus maleficus malus nefandus nequam perversus sceleratus scelestus ";"";""
"a#01087857";" iracundus irascibilis ";"";""
"a#01088903";" adustus ater caeruleus caligineus caliginosus niger ";"";""
"a#01090386";" decens ";"";""
"a#01094125";" repens repentinus subitaneus subitus ";"";""
"a#01097922";" gratus memor ";"";""
"a#01098383";" ingratus ";"";""
"a#01099314";" auspicatus beatus felix fortunatus ";"";""
"a#01101074";" aeger infelix maestus miser tristis ";"";""
"a#01106117";" lanatus laniger lanosus ";"";""
"a#01113117";" innocens innocuus innoxius insons ";"";""
"a#01116381";" canorus concinens concors congruens consentiens consonus conveniens harmonicus numerosus ";"";""
"a#01124146";" insalubris intempestus morbidus morbosus pestilens ";"";""
"a#01125568";" distentus gravidus tumidus turgidus ";"";""
"a#01130973";" terrenus ";"";""
"a#01131706";" mundialis ";"";""
"a#01144205";" incogitans inconsultus ";"";""
"a#01145007";" attentus auritus curiosus erectus officiosus sedulus ";"";""
"a#01145952";" salutaris utilis ";"";""
